title,year,rank_in_year,macro_categoria,animation_studios
Hungry Heart: Wild Striker,2002,42,Otros Géneros,Nippon Animation
Duel Masters,2002,43,Fantasía / Acción / Aventura,"Studio Hibari, A.C.G.T."
Puchi Puri * Yuushi,2002,44,Fantasía / Acción / Aventura,"Gainax, AIC"
Choujuushin Gravion,2002,45,Híbrido (Acción + Sci-Fi),GONZO
Dragon Drive,2002,46,Híbrido (Acción + Sci-Fi),MADHOUSE
Honoo no Mirage,2002,47,Fantasía / Acción / Aventura,"MADHOUSE, Studio Matrix"
Gun Frontier,2002,48,Híbrido (Acción + Sci-Fi),Unknown
Shichinin no Nana,2002,49,Fantasía / Acción / Aventura,"Hal Film Maker, A.C.G.T."
Whistle!,2002,50,Otros Géneros,Studio Comet
Maou Dante,2002,51,Fantasía / Acción / Aventura,Magic Bus
Patapata Hikousen no Bouken,2002,52,Híbrido (Acción + Sci-Fi),"Telecom Animation Film, Telecom Animation Film, TMS Entertainment"
Galaxy Angel Z,2002,53,Sci-Fi / Mecha Puro,MADHOUSE
Galaxy Angel A,2002,54,Sci-Fi / Mecha Puro,MADHOUSE
Aquarian Age: Sign for Evolution,2002,55,Híbrido (Acción + Sci-Fi),MADHOUSE
Sister Princess RePure,2002,56,Otros Géneros,ZEXCS
PIANO,2002,57,Otros Géneros,OLM
Weiß Kreuz Glühen,2002,58,Fantasía / Acción / Aventura,"ufotable, Animate Film, Studio Flag"
G-on Riders,2002,59,Sci-Fi / Mecha Puro,"Shaft, TNK"
Atashin'chi,2002,60,Otros Géneros,Yumeta Company
Bomberman Jetters,2002,61,Híbrido (Acción + Sci-Fi),Studio DEEN
Asobot Senki Gokuu,2002,62,Sci-Fi / Mecha Puro,Unknown
Barom One,2002,63,Híbrido (Acción + Sci-Fi),E&G Films
Genma Taisen: Shinwa Zenya no Shou,2002,64,Híbrido (Acción + Sci-Fi),E&G Films
Bakuto Sengen Daigander,2002,65,Híbrido (Acción + Sci-Fi),"Nippon Animation, Brain's Base"
Shin Seiki Den Mars,2002,66,Sci-Fi / Mecha Puro,"Plum, Studio Guts"
Shin Megami Tensei: Devil Children - Light & Dark,2002,67,Fantasía / Acción / Aventura,Actas
Wild 7 another Bouryaku Unga,2002,68,Fantasía / Acción / Aventura,E&G Films
Fortune Dogs,2002,69,Fantasía / Acción / Aventura,Unknown
Denkou Chou Tokkyuu Hikarian,2002,70,Fantasía / Acción / Aventura,Tokyo Kids
Kasumin 2nd Series,2002,71,Fantasía / Acción / Aventura,OLM
Tsuri Baka Nisshi,2002,72,Otros Géneros,Toei Animation
Forza! Hidemaru,2002,73,Otros Géneros,Unknown
Kick Off 2002,2002,74,Otros Géneros,Unknown
Ki-Fighter Taerang,2002,75,Fantasía / Acción / Aventura,Unknown
Hagane no Renkinjutsushi,2003,1,Fantasía / Acción / Aventura,bones
Kino no Tabi: the Beautiful World,2003,2,Fantasía / Acción / Aventura,"A.C.G.T., Studio Wombat"
TEXHNOLYZE,2003,3,Híbrido (Acción + Sci-Fi),"MADHOUSE, Group TAC"
Planetes,2003,4,Sci-Fi / Mecha Puro,Sunrise
Wolf's Rain,2003,5,Híbrido (Acción + Sci-Fi),bones
Full Metal Panic? Fumoffu,2003,6,Fantasía / Acción / Aventura,Kyoto Animation
GUNSLINGER GIRL,2003,7,Híbrido (Acción + Sci-Fi),MADHOUSE
Gungrave,2003,8,Híbrido (Acción + Sci-Fi),MADHOUSE
Last Exile,2003,9,Híbrido (Acción + Sci-Fi),GONZO
Shingetsutan Tsukihime,2003,10,Fantasía / Acción / Aventura,J.C.STAFF
Chrno Crusade,2003,11,Fantasía / Acción / Aventura,GONZO
Ikkitousen,2003,12,Fantasía / Acción / Aventura,J.C.STAFF
Konjiki no Gash Bell!!,2003,13,Fantasía / Acción / Aventura,Toei Animation
Kimi ga Nozomu Eien,2003,14,Otros Géneros,Studio Fantasia
Sonic X,2003,15,Híbrido (Acción + Sci-Fi),TMS Entertainment
D.N.Angel,2003,16,Fantasía / Acción / Aventura,Xebec
Bobobo-bo Bo-bobo,2003,17,Híbrido (Acción + Sci-Fi),Toei Animation
Scrapped Princess,2003,18,Híbrido (Acción + Sci-Fi),bones
Mermaid Melody: Pichi Pichi Pitch,2003,19,Fantasía / Acción / Aventura,"SynergySP, Actas"
Kaleido Star,2003,20,Otros Géneros,"GONZO, Production I.G, Hal Film Maker, G&G Entertainment"
R.O.D -THE TV-,2003,21,Híbrido (Acción + Sci-Fi),J.C.STAFF
Green Green,2003,22,Otros Géneros,Studio Matrix
Maburaho,2003,23,Otros Géneros,J.C.STAFF
Onegai☆Twins,2003,24,Otros Géneros,Daume
D.C.: Da Capo,2003,25,Otros Géneros,"feel., ZEXCS"
Bakuten Shoot Beyblade G Revolution,2003,26,Híbrido (Acción + Sci-Fi),"MADHOUSE, Nippon Animation"
.hack//Tasogare no Udewa Densetsu,2003,27,Híbrido (Acción + Sci-Fi),Bee Train
Ashita no Nadja,2003,28,Fantasía / Acción / Aventura,Toei Animation
Gilgamesh,2003,29,Híbrido (Acción + Sci-Fi),Group TAC
Narutaru: Mukuro Naru Hoshi Tama Taru Ko,2003,30,Otros Géneros,Planet
Mujin Wakusei Survive,2003,31,Híbrido (Acción + Sci-Fi),"MADHOUSE, Telecom Animation Film"
PEACE MAKER Kurogane,2003,32,Fantasía / Acción / Aventura,GONZO
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,2003,33,Otros Géneros,"Tokyo Movie Shinsha, TMS Entertainment"
Juubee Ninpuuchou: Ryuuhougyoku-hen,2003,34,Fantasía / Acción / Aventura,"MADHOUSE, Studio Take Off"
Ai Yori Aoshi: Enishi,2003,35,Otros Géneros,J.C.STAFF
Air Master,2003,36,Fantasía / Acción / Aventura,Toei Animation
Mahoutsukai ni Taisetsu na Koto,2003,37,Otros Géneros,J.C.STAFF
Astro Boy Tetsuwan Atom,2003,38,Híbrido (Acción + Sci-Fi),Tezuka Productions
Tantei Gakuen Q,2003,39,Otros Géneros,"Studio Pierrot, Group TAC"
Shinkon Gattai Godannar,2003,40,Sci-Fi / Mecha Puro,"OLM, AIC"
Yami to Boushi to Hon no Tabibito,2003,41,Fantasía / Acción / Aventura,Studio DEEN
Matantei Loki RAGNAROK,2003,42,Otros Géneros,Studio DEEN
Takahashi Rumiko Gekijou: Ningyo no Mori,2003,43,Fantasía / Acción / Aventura,"TMS Entertainment, Studio 4°C"
Popotan,2003,44,Otros Géneros,"Shaft, Animaruya, Satelight, Studio DEEN"
Uchuu no Stellvia,2003,45,Híbrido (Acción + Sci-Fi),Xebec
Ultra Maniac,2003,46,Otros Géneros,"Ashi Productions, WAO World"
Saiyuuki RELOAD,2003,47,Fantasía / Acción / Aventura,Studio Pierrot
