title,year,rank_in_year,macro_categoria,animation_studios
Sky Girls,2007,79,Híbrido (Acción + Sci-Fi),J.C.STAFF
Potemayo,2007,80,Otros Géneros,J.C.STAFF
Night Wizard The ANIMATION,2007,81,Fantasía / Acción / Aventura,Hal Film Maker
Venus Versus Virus,2007,82,Otros Géneros,Studio Hibari
Shining Tears X Wind,2007,83,Fantasía / Acción / Aventura,Studio DEEN
Jyuushin Enbu: HERO TALES,2007,84,Fantasía / Acción / Aventura,Studio Flag
Mokke,2007,85,Otros Géneros,"MADHOUSE, Tezuka Productions"
Ayakashi,2007,86,Híbrido (Acción + Sci-Fi),Tokyo Kids
Nanatsu-iro★Drops,2007,87,Fantasía / Acción / Aventura,diomedéa
Touka Gettan,2007,88,Otros Géneros,"Studio DEEN, WAO World"
Prism Ark,2007,89,Fantasía / Acción / Aventura,Front Line
Kono Aozora ni Yakusoku wo: Youkoso Tsugumi Ryou e,2007,90,Otros Géneros,Artland
Hitohira,2007,91,Otros Géneros,Xebec
CODE-E,2007,92,Sci-Fi / Mecha Puro,Studio DEEN
Mushi-Uta,2007,93,Híbrido (Acción + Sci-Fi),"Beat Frog, Studio Tulip, ZEXCS"
Oh! Edo Rocket,2007,94,Híbrido (Acción + Sci-Fi),"MADHOUSE, Sunny Side Up"
MOONLIGHT MILE 1st Season -Lift off-,2007,95,Híbrido (Acción + Sci-Fi),Studio Hibari
Rocket Girls,2007,96,Híbrido (Acción + Sci-Fi),"Mook Animation, DLE"
Taiho Shichauzo: Full Throttle,2007,97,Fantasía / Acción / Aventura,Studio DEEN
Kiss Dum: ENGAGE planet,2007,98,Sci-Fi / Mecha Puro,Satelight
Kaze no Shoujo Emily,2007,99,Otros Géneros,TMS Entertainment
Koutetsushin Jeeg,2007,100,Sci-Fi / Mecha Puro,Actas
Toradora!,2008,1,Otros Géneros,J.C.STAFF
Soul Eater,2008,2,Fantasía / Acción / Aventura,"bones, Code"
Code Geass: Hangyaku no Lelouch R2,2008,3,Híbrido (Acción + Sci-Fi),Sunrise
Kuroshitsuji,2008,4,Fantasía / Acción / Aventura,A-1 Pictures
CLANNAD: After Story,2008,5,Otros Géneros,"Kyoto Animation, Animation Do"
Toaru Majutsu no Index,2008,6,Híbrido (Acción + Sci-Fi),J.C.STAFF
Ookami to Koushinryou,2008,7,Fantasía / Acción / Aventura,Imagin
To LOVE-Ru,2008,8,Sci-Fi / Mecha Puro,Xebec
Natsume Yuujinchou,2008,9,Fantasía / Acción / Aventura,"Brain's Base, Trilogy Future Studio"
Rosario to Vampire,2008,10,Fantasía / Acción / Aventura,GONZO
Vampire Knight,2008,11,Otros Géneros,Studio DEEN
Zero no Tsukaima: Princesses no Rondo,2008,12,Fantasía / Acción / Aventura,J.C.STAFF
Sekirei,2008,13,Fantasía / Acción / Aventura,Seven Arcs
Rosario to Vampire Capu2,2008,14,Fantasía / Acción / Aventura,GONZO
Michiko to Hatchin,2008,15,Fantasía / Acción / Aventura,Manglobe
Special A,2008,16,Otros Géneros,"GONZO, AIC"
Inazuma Eleven,2008,17,Otros Géneros,OLM
One Outs,2008,18,Otros Géneros,MADHOUSE
Vampire Knight Guilty,2008,19,Otros Géneros,Studio DEEN
ChäoS;HEAd,2008,20,Sci-Fi / Mecha Puro,MADHOUSE
Kaiba,2008,21,Híbrido (Acción + Sci-Fi),MADHOUSE
Kanokon,2008,22,Otros Géneros,Xebec
Ga-Rei-Zero,2008,23,Fantasía / Acción / Aventura,"AIC Spirits, Asread"
Skip Beat!,2008,24,Otros Géneros,Hal Film Maker
Itazura na Kiss,2008,25,Otros Géneros,TMS Entertainment
Casshern Sins,2008,26,Híbrido (Acción + Sci-Fi),"MADHOUSE, Tatsunoko Production"
true tears,2008,27,Otros Géneros,P.A.WORKS
Strike Witches,2008,28,Híbrido (Acción + Sci-Fi),GONZO
Yozakura Quartet,2008,29,Fantasía / Acción / Aventura,Nomad
Junjou Romantica,2008,30,Otros Géneros,Studio DEEN
Kannagi,2008,31,Otros Géneros,"A-1 Pictures, Ordet"
Mnemosyne: Mnemosyne no Musume-tachi,2008,32,Híbrido (Acción + Sci-Fi),Xebec
ARIA The ORIGINATION,2008,33,Híbrido (Acción + Sci-Fi),Hal Film Maker
Zoku Sayonara Zetsubou Sensei,2008,34,Otros Géneros,Shaft
Yu☆Gi☆Oh! 5D's,2008,35,Híbrido (Acción + Sci-Fi),Studio Gallop
ef: a tale of melodies.,2008,36,Otros Géneros,Shaft
Macross Frontier,2008,37,Híbrido (Acción + Sci-Fi),Satelight
Kidou Senshi Gundam 00 2nd Season,2008,38,Híbrido (Acción + Sci-Fi),Sunrise
Tetsuwan Birdy DECODE,2008,39,Híbrido (Acción + Sci-Fi),A-1 Pictures
Nabari no Ou,2008,40,Fantasía / Acción / Aventura,J.C.STAFF
Shikabane Hime: Aka,2008,41,Fantasía / Acción / Aventura,"Gainax, feel."
Junjou Romantica 2,2008,42,Otros Géneros,Studio DEEN
Akane-iro ni Somaru Saka,2008,43,Otros Géneros,TNK
Nogizaka Haruka no Himitsu,2008,44,Otros Géneros,diomedéa
xxxHOLiC◆Kei,2008,45,Otros Géneros,"Production I.G, Hal Film Maker"
Shigofumi,2008,46,Fantasía / Acción / Aventura,J.C.STAFF
Nodame Cantabile: Paris-hen,2008,47,Otros Géneros,"J.C.STAFF, Trilogy Future Studio"
Tales of the Abyss,2008,48,Fantasía / Acción / Aventura,Sunrise
Kimi ga Aruji de Shitsuji ga Ore de,2008,49,Otros Géneros,"A.C.G.T., Pastel"
Hakushaku to Yousei,2008,50,Fantasía / Acción / Aventura,Artland
Druaga no Tou: the Aegis of URUK,2008,51,Fantasía / Acción / Aventura,GONZO
Jigoku Shoujo: Mitsuganae,2008,52,Otros Géneros,Studio DEEN
Kurozuka,2008,53,Híbrido (Acción + Sci-Fi),MADHOUSE
Kure-nai,2008,54,Fantasía / Acción / Aventura,Brain's Base
Shugo Chara!! Doki,2008,55,Otros Géneros,Satelight
PERSONA -trinity soul-,2008,56,Híbrido (Acción + Sci-Fi),A-1 Pictures
H2O: FOOTPRINTS IN THE SAND,2008,57,Otros Géneros,ZEXCS
Toshokan Sensou,2008,58,Fantasía / Acción / Aventura,"Production I.G, Code"
Mugen no Juunin,2008,59,Fantasía / Acción / Aventura,"Bee Train, Production I.G"
Mouryou no Hako,2008,60,Otros Géneros,MADHOUSE
Blassreiter,2008,61,Híbrido (Acción + Sci-Fi),GONZO
Minami-ke: Okawari,2008,62,Otros Géneros,Asread
GUNSLINGER GIRL -IL TEATRINO-,2008,63,Híbrido (Acción + Sci-Fi),Artland
Major S4,2008,64,Otros Géneros,SynergySP
Ikkitousen: Great Guardians,2008,65,Fantasía / Acción / Aventura,Arms
Hidamari Sketch x 365,2008,66,Otros Géneros,Shaft
Zettai Karen Children,2008,67,Híbrido (Acción + Sci-Fi),SynergySP
Golgo 13 (TV),2008,68,Fantasía / Acción / Aventura,The Answer Studio
Koihime†Musou,2008,69,Fantasía / Acción / Aventura,Doga Kobo
Hyakko,2008,70,Otros Géneros,Nippon Animation
Allison to Lillia,2008,71,Fantasía / Acción / Aventura,MADHOUSE
Monochrome Factor,2008,72,Fantasía / Acción / Aventura,A.C.G.T.
Kemeko DX,2008,73,Sci-Fi / Mecha Puro,Hal Film Maker
World Destruction: Sekai Bokumetsu no Rokunin,2008,74,Fantasía / Acción / Aventura,Production I.G
Kurogane no Linebarrels,2008,75,Híbrido (Acción + Sci-Fi),GONZO
Kyou no Go no Ni (2008),2008,76,Otros Géneros,Xebec
Nijuu Mensou no Musume,2008,77,Fantasía / Acción / Aventura,"bones, Telecom Animation Film, PRA, Sakura Create, Trilogy Future Studio"
Amatsuki,2008,78,Fantasía / Acción / Aventura,Studio DEEN
RD Sennou Chousashitsu,2008,79,Híbrido (Acción + Sci-Fi),Production I.G
Macademi WAsshoi!,2008,80,Fantasía / Acción / Aventura,ZEXCS
Kamen no Maid Guy,2008,81,Fantasía / Acción / Aventura,MADHOUSE
Slayers REVOLUTION,2008,82,Fantasía / Acción / Aventura,J.C.STAFF
Antique Bakery,2008,83,Otros Géneros,"Nippon Animation, SynergySP, Shirogumi"
Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,2008,84,Otros Géneros,Hal Film Maker
Kyouran Kazoku Nikki,2008,85,Sci-Fi / Mecha Puro,"Nomad, Trilogy Future Studio"
D.C.II S.S.: Da Capo II Second Season,2008,86,Fantasía / Acción / Aventura,feel.
Wagaya no Oinari-sama.,2008,87,Fantasía / Acción / Aventura,ZEXCS
Kyou kara Maou! 3rd Series,2008,88,Fantasía / Acción / Aventura,Studio DEEN
Hatenkou Yuugi,2008,89,Fantasía / Acción / Aventura,Studio DEEN
Neo Angelique Abyss,2008,90,Fantasía / Acción / Aventura,"Yumeta Company, Koei"
Yes! Precure 5 GoGo!,2008,91,Fantasía / Acción / Aventura,Toei Animation
BUS GAMER,2008,92,Fantasía / Acción / Aventura,"Studio Izena, Anpro"
Himitsu: Top Secret - The Revelation,2008,93,Sci-Fi / Mecha Puro,MADHOUSE
Yakushiji Ryouko no Kaiki Jikenbo,2008,94,Otros Géneros,Doga Kobo
Tytania,2008,95,Híbrido (Acción + Sci-Fi),Artland
BLUE DRAGON: Tenkai no Shichi Ryuu,2008,96,Fantasía / Acción / Aventura,Studio Pierrot
Kodai Ouja Kyouryuu King: D-Kids Adventure - Yokuryuu Densetsu,2008,97,Híbrido (Acción + Sci-Fi),Sunrise
Hakaba Kitarou,2008,98,Otros Géneros,Toei Animation
Crystal Blaze,2008,99,Híbrido (Acción + Sci-Fi),Studio Fantasia
Hokuto no Ken: Raoh Gaiden Ten no Haoh,2008,100,Fantasía / Acción / Aventura,Satelight
Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,2009,1,Fantasía / Acción / Aventura,bones
FAIRY TAIL,2009,2,Fantasía / Acción / Aventura,"Satelight, A-1 Pictures, Sakura Create"
Bakemonogatari,2009,3,Otros Géneros,Shaft
K-ON!,2009,4,Otros Géneros,"Kyoto Animation, Animation Do"
Kimi ni Todoke,2009,5,Otros Géneros,Production I.G
Toaru Kagaku no Railgun,2009,6,Híbrido (Acción + Sci-Fi),J.C.STAFF
Suzumiya Haruhi no Yuuutsu (2009),2009,7,Sci-Fi / Mecha Puro,Kyoto Animation
Higashi no Eden,2009,8,Sci-Fi / Mecha Puro,Production I.G
Ookami to Koushinryou II,2009,9,Fantasía / Acción / Aventura,"Imagin, Brain's Base, Marvy Jack"
Dragon Ball Kai,2009,10,Fantasía / Acción / Aventura,Toei Animation
Sora no Otoshimono,2009,11,Sci-Fi / Mecha Puro,AIC A.S.T.A.
Pandora Hearts,2009,12,Fantasía / Acción / Aventura,Xebec
Tokyo Magnitude 8.0,2009,13,Otros Géneros,"bones, Kinema Citrus, Sakura Create"
DARKER THAN BLACK: Ryuusei no Gemini,2009,14,Híbrido (Acción + Sci-Fi),"bones, Sakura Create"
Phantom: Requiem for the Phantom,2009,15,Fantasía / Acción / Aventura,Bee Train
Hajime no Ippo: New Challenger,2009,16,Otros Géneros,MADHOUSE
Kämpfer,2009,17,Fantasía / Acción / Aventura,Nomad
Inuyasha: Kanketsu-hen,2009,18,Fantasía / Acción / Aventura,Sunrise
Zoku Natsume Yuujinchou,2009,19,Fantasía / Acción / Aventura,Brain's Base
Aoi Bungaku Series,2009,20,Otros Géneros,MADHOUSE
Canaan,2009,21,Híbrido (Acción + Sci-Fi),P.A.WORKS
Nyan Koi!,2009,22,Otros Géneros,AIC
Princess Lover!,2009,23,Otros Géneros,"GoHands, Dream Force"
Umineko no Naku Koro ni,2009,24,Otros Géneros,Studio DEEN
Seitokai no Ichizon,2009,25,Otros Géneros,Studio DEEN
Maria†Holic,2009,26,Otros Géneros,Shaft
11eyes,2009,27,Fantasía / Acción / Aventura,Doga Kobo
Seiken no Blacksmith,2009,28,Fantasía / Acción / Aventura,Manglobe
Koukaku no Regios,2009,29,Híbrido (Acción + Sci-Fi),ZEXCS
Kobato.,2009,30,Fantasía / Acción / Aventura,MADHOUSE
Asu no Yoichi!,2009,31,Otros Géneros,AIC
WHITE ALBUM,2009,32,Otros Géneros,Seven Arcs
07-Ghost,2009,33,Fantasía / Acción / Aventura,Studio DEEN
Cross Game,2009,34,Otros Géneros,SynergySP
Metal Fight Beyblade,2009,35,Fantasía / Acción / Aventura,"Tatsunoko Production, SynergySP, Seven"
Aoi Hana,2009,36,Otros Géneros,J.C.STAFF
Kuuchuu Buranko,2009,37,Otros Géneros,Toei Animation
Sengoku BASARA,2009,38,Fantasía / Acción / Aventura,Production I.G
Zan Sayonara Zetsubou Sensei,2009,39,Otros Géneros,Shaft
Saki,2009,40,Otros Géneros,"GONZO, Picture Magic"
NEEDLESS,2009,41,Híbrido (Acción + Sci-Fi),MADHOUSE
Kemono no Souja Erin,2009,42,Fantasía / Acción / Aventura,"Production I.G, Trans Arts"
Senjou no Valkyria: Gallian Chronicles,2009,43,Fantasía / Acción / Aventura,"A-1 Pictures, Sakura Create"
Kurokami The Animation,2009,44,Fantasía / Acción / Aventura,Sunrise
Queen's Blade: Rurou no Senshi,2009,45,Fantasía / Acción / Aventura,Arms
Tegami Bachi,2009,46,Fantasía / Acción / Aventura,"Studio Pierrot, Studio Signpost"
Hayate no Gotoku!!,2009,47,Fantasía / Acción / Aventura,J.C.STAFF
Sasameki Koto,2009,48,Otros Géneros,AIC
Akikan!,2009,49,Fantasía / Acción / Aventura,Brain's Base
Hatsukoi Limited,2009,50,Otros Géneros,J.C.STAFF
Yumeiro Pâtissière,2009,51,Fantasía / Acción / Aventura,"Studio Pierrot, Studio Hibari"
Asura Cryin',2009,52,Híbrido (Acción + Sci-Fi),Seven Arcs
Tatakau Shisho: The Book of Bantorra,2009,53,Fantasía / Acción / Aventura,"David Production, Sakura Create"
Bakugan Battle Brawlers: New Vestroia,2009,54,Híbrido (Acción + Sci-Fi),TMS Entertainment
Tears to Tiara,2009,55,Fantasía / Acción / Aventura,WHITE FOX
Shikabane Hime: Kuro,2009,56,Fantasía / Acción / Aventura,"Gainax, feel."
Major S5,2009,57,Otros Géneros,SynergySP
Minami-ke: Okaeri,2009,58,Otros Géneros,Asread
Shangri-La,2009,59,Híbrido (Acción + Sci-Fi),"GONZO, GONZO"
Shugo Chara! Party!,2009,60,Otros Géneros,Satelight
Tetsuwan Birdy DECODE:02,2009,61,Híbrido (Acción + Sci-Fi),A-1 Pictures
Natsu no Arashi!,2009,62,Fantasía / Acción / Aventura,Shaft
Nogizaka Haruka no Himitsu: Purezza,2009,63,Otros Géneros,diomedéa
Tayutama: Kiss on my Deity,2009,64,Otros Géneros,SILVER LINK.
Druaga no Tou: the Sword of URUK,2009,65,Fantasía / Acción / Aventura,GONZO
WHITE ALBUM 2nd Season,2009,66,Otros Géneros,Seven Arcs
Ristorante Paradiso,2009,67,Otros Géneros,David Production
Queen's Blade: Gyokuza wo Tsugu Mono,2009,68,Fantasía / Acción / Aventura,Arms
Sora no Manimani,2009,69,Otros Géneros,Studio Comet
Hanasakeru Seishounen,2009,70,Otros Géneros,Studio Pierrot
Basquash!,2009,71,Sci-Fi / Mecha Puro,Satelight
Asura Cryin' 2,2009,72,Híbrido (Acción + Sci-Fi),Seven Arcs
Kanamemo,2009,73,Otros Géneros,feel.
RideBack,2009,74,Híbrido (Acción + Sci-Fi),MADHOUSE
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,2009,75,Fantasía / Acción / Aventura,Kyoto Animation
Guin Saga,2009,76,Fantasía / Acción / Aventura,Satelight
Fight Ippatsu! Juuden-chan!!,2009,77,Sci-Fi / Mecha Puro,Studio Hibari
Fresh Precure!,2009,78,Fantasía / Acción / Aventura,Toei Animation
Umi Monogatari: Anata ga Ite Kureta Koto,2009,79,Fantasía / Acción / Aventura,ZEXCS
Sora wo Kakeru Shoujo,2009,80,Híbrido (Acción + Sci-Fi),Sunrise
Taishou Yakyuu Musume.,2009,81,Otros Géneros,J.C.STAFF
Shin Koihime†Musou: Otome Ryouran☆Sangokushi Engi,2009,82,Fantasía / Acción / Aventura,Doga Kobo
Slayers EVOLUTION-R,2009,83,Fantasía / Acción / Aventura,J.C.STAFF
GA: Geijutsuka Art Design Class,2009,84,Otros Géneros,AIC Plus+
Yokuwakaru Gendaimahou,2009,85,Otros Géneros,Nomad
Shin Mazinger Shougeki! Z-hen,2009,86,Híbrido (Acción + Sci-Fi),"Bee Media, Code"
Maria-sama ga Miteru 4th Season,2009,87,Otros Géneros,Studio DEEN
Shinkyoku Soukai Polyphonica crimson S,2009,88,Fantasía / Acción / Aventura,diomedéa
Natsu no Arashi!: Akinai-chuu,2009,89,Fantasía / Acción / Aventura,Shaft
Jewelpet,2009,90,Fantasía / Acción / Aventura,Studio Comet
Fuyu no Sonata,2009,91,Otros Géneros,"G&G Entertainment, JM animation, Studio Comet, REALTHING, KeyEast"
Souten Kouro,2009,92,Fantasía / Acción / Aventura,MADHOUSE
Kaidan Restaurant,2009,93,Otros Géneros,Toei Animation
Genji Monogatari Sennenki,2009,94,Otros Géneros,"Tezuka Productions, TMS Entertainment"
Kiddy GiRL-AND,2009,95,Híbrido (Acción + Sci-Fi),Satelight
Konnichiwa Anne: Before Green Gables,2009,96,Otros Géneros,Nippon Animation
Anyamal Tantei Kiruminzoo,2009,97,Fantasía / Acción / Aventura,"Hal Film Maker, Satelight, JM animation"
Arad Senki: Slap Up Party,2009,98,Fantasía / Acción / Aventura,GONZO
Miracle☆Train: Oedo-sen e Youkoso,2009,99,Fantasía / Acción / Aventura,"Yumeta Company, TYO Animations"
Element Hunters,2009,100,Sci-Fi / Mecha Puro,Heewon Entertainment
Angel Beats!,2010,1,Fantasía / Acción / Aventura,P.A.WORKS
Durarara!!,2010,2,Fantasía / Acción / Aventura,Brain's Base
Kaichou wa Maid-sama!,2010,3,Otros Géneros,J.C.STAFF
Gakuen Mokushiroku: HIGHSCHOOL OF THE DEAD,2010,4,Fantasía / Acción / Aventura,MADHOUSE
K-ON!!,2010,5,Otros Géneros,"Kyoto Animation, Animation Do, Kyoto Animation"
Yojouhan Shinwa Taikei,2010,6,Otros Géneros,MADHOUSE
Ore no Imouto ga Konna ni Kawaii Wake ga Nai,2010,7,Otros Géneros,"AIC Build, Jumondou"
Katanagatari,2010,8,Fantasía / Acción / Aventura,WHITE FOX
Kami nomi zo Shiru Sekai,2010,9,Otros Géneros,Manglobe
Shiki,2010,10,Otros Géneros,Daume
Bakuman.,2010,11,Otros Géneros,J.C.STAFF
Baka to Test to Shoukanjuu,2010,12,Otros Géneros,SILVER LINK.
Panty & Stocking with Garterbelt,2010,13,Fantasía / Acción / Aventura,Gainax
Seitokai Yakuindomo,2010,14,Otros Géneros,"GoHands, Dream Force"
kiss×sis (TV),2010,15,Otros Géneros,feel.
Kuroshitsuji II,2010,16,Fantasía / Acción / Aventura,A-1 Pictures
Toaru Majutsu no Index II,2010,17,Híbrido (Acción + Sci-Fi),J.C.STAFF
Yosuga no Sora,2010,18,Otros Géneros,"feel., PRA"
Ichiban Ushiro no Daimaou,2010,19,Fantasía / Acción / Aventura,Artland
WORKING!!,2010,20,Otros Géneros,A-1 Pictures
RAINBOW: Nisha Rokubou no Shichinin,2010,21,Otros Géneros,MADHOUSE
Amagami SS,2010,22,Otros Géneros,AIC
Arakawa Under the Bridge,2010,23,Otros Géneros,Shaft
B Gata H Kei,2010,24,Otros Géneros,"Hal Film Maker, TYO Animations"
Motto To LOVE-Ru,2010,25,Sci-Fi / Mecha Puro,"Xebec, PRA"
Kuragehime,2010,26,Otros Géneros,"Brain's Base, Sakura Create"
Seikon no Qwaser,2010,27,Fantasía / Acción / Aventura,Hoods Entertainment
Densetsu no Yuusha no Densetsu,2010,28,Fantasía / Acción / Aventura,ZEXCS
Ookami-san to Shichinin no Nakama-tachi,2010,29,Otros Géneros,J.C.STAFF
Sora no Otoshimono: Forte,2010,30,Sci-Fi / Mecha Puro,AIC A.S.T.A.
Shinryaku! Ika Musume,2010,31,Otros Géneros,"diomedéa, TYO Animations"
Nurarihyon no Mago,2010,32,Fantasía / Acción / Aventura,Studio DEEN
So Ra No Wo To,2010,33,Sci-Fi / Mecha Puro,A-1 Pictures
Ladies versus Butlers!,2010,34,Otros Géneros,Xebec
MM!,2010,35,Otros Géneros,Xebec
Omamori Himari,2010,36,Fantasía / Acción / Aventura,ZEXCS
Sekirei: Pure Engagement,2010,37,Fantasía / Acción / Aventura,Seven Arcs
Asobi ni Iku yo!,2010,38,Sci-Fi / Mecha Puro,"AIC, AIC Plus+"
Dance in the Vampire Bund,2010,39,Fantasía / Acción / Aventura,Shaft
Hyakka Ryouran: Samurai Girls,2010,40,Fantasía / Acción / Aventura,Arms
Arakawa Under the Bridge x Bridge,2010,41,Otros Géneros,Shaft
Pocket Monsters Best Wishes!,2010,42,Fantasía / Acción / Aventura,OLM
Mayoi Neko Overrun!,2010,43,Otros Géneros,AIC
Saraiya Goyou,2010,44,Otros Géneros,"Manglobe, Doga Kobo, Xebec"
STAR DRIVER: Kagayaki no Takuto,2010,45,Híbrido (Acción + Sci-Fi),bones
Mitsudomoe,2010,46,Otros Géneros,Bridge
Hakuouki,2010,47,Fantasía / Acción / Aventura,Studio DEEN
Hanamaru Youchien,2010,48,Otros Géneros,Gainax
Soredemo Machi wa Mawatteiru,2010,49,Otros Géneros,Shaft
Shinrei Tantei Yakumo,2010,50,Otros Géneros,Bee Train
HUNTER×HUNTER (2011),2011,1,Fantasía / Acción / Aventura,"MADHOUSE, Studio Live"
Steins;Gate,2011,2,Sci-Fi / Mecha Puro,WHITE FOX
Ao no Exorcist,2011,3,Fantasía / Acción / Aventura,"A-1 Pictures, Sakura Create"
Mirai Nikki,2011,4,Fantasía / Acción / Aventura,"Asread, Sakura Create"
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,2011,5,Otros Géneros,A-1 Pictures
Fate/Zero,2011,6,Fantasía / Acción / Aventura,"ufotable, ufotable"
Mahou Shoujo Madoka☆Magica,2011,7,Fantasía / Acción / Aventura,Shaft
Deadman Wonderland,2011,8,Híbrido (Acción + Sci-Fi),Manglobe
Guilty Crown,2011,9,Híbrido (Acción + Sci-Fi),Production I.G
Nichijou,2011,10,Otros Géneros,"Kyoto Animation, Animation Do"
Boku wa Tomodachi ga Sukunai,2011,11,Otros Géneros,AIC Build
IS: Infinite Stratos,2011,12,Híbrido (Acción + Sci-Fi),"8-bit, Sakura Create"
Chihayafuru,2011,13,Otros Géneros,MADHOUSE
GOSICK,2011,14,Otros Géneros,bones
Kimi ni Todoke 2ND SEASON,2011,15,Otros Géneros,Production I.G
Kore wa Zombie desu ka?,2011,16,Fantasía / Acción / Aventura,Studio DEEN
Gintama',2011,17,Híbrido (Acción + Sci-Fi),Sunrise
Beelzebub,2011,18,Fantasía / Acción / Aventura,"Studio Pierrot, Studio Signpost"
NO.6,2011,19,Híbrido (Acción + Sci-Fi),bones
Usagi Drop,2011,20,Otros Géneros,"Production I.G, Sakura Create"
Mayo Chiki!,2011,21,Otros Géneros,"feel., PRA"
BLOOD-C,2011,22,Fantasía / Acción / Aventura,Production I.G
Yuru Yuri,2011,23,Otros Géneros,"Daume, Doga Kobo, Studio Gram, PRA, Jumondou"
Mawaru Penguindrum,2011,24,Otros Géneros,Brain's Base
Hanasaku Iroha,2011,25,Otros Géneros,P.A.WORKS
Kami nomi zo Shiru Sekai II,2011,26,Otros Géneros,Manglobe
Hidan no Aria,2011,27,Fantasía / Acción / Aventura,J.C.STAFF
Ben-To,2011,28,Fantasía / Acción / Aventura,David Production
Denpa Onna to Seishun Otoko,2011,29,Otros Géneros,Shaft
Baka to Test to Shoukanjuu Ni!,2011,30,Otros Géneros,"SILVER LINK., PRA, C2C"
C: THE MONEY OF SOUL AND POSSIBILITY CONTROL,2011,31,Fantasía / Acción / Aventura,"Tatsunoko Production, Jumondou"
Maken-Ki!,2011,32,Fantasía / Acción / Aventura,"AIC, AIC Spirits"
Bakuman. 2,2011,33,Otros Géneros,J.C.STAFF
Maji de Watashi ni Koi Shinasai!,2011,34,Fantasía / Acción / Aventura,Lerche
Persona 4 the Animation,2011,35,Híbrido (Acción + Sci-Fi),AIC A.S.T.A.
Freezing,2011,36,Híbrido (Acción + Sci-Fi),A.C.G.T.
WORKING'!!,2011,37,Otros Géneros,A-1 Pictures
Gyakkyou Burai Kaiji: Hakairoku-hen,2011,38,Otros Géneros,MADHOUSE
Kamisama no Memochou,2011,39,Otros Géneros,J.C.STAFF
TIGER & BUNNY,2011,40,Híbrido (Acción + Sci-Fi),Sunrise
Natsume Yuujinchou San,2011,41,Fantasía / Acción / Aventura,"Brain's Base, Sakura Create"
SKET DANCE,2011,42,Otros Géneros,Tatsunoko Production
THE IDOLM@STER,2011,43,Otros Géneros,A-1 Pictures
Shakugan no Shana III (Final),2011,44,Fantasía / Acción / Aventura,J.C.STAFF
Kyoukaisenjou no Horizon,2011,45,Híbrido (Acción + Sci-Fi),Sunrise
Kimi to Boku.,2011,46,Otros Géneros,J.C.STAFF
Dog Days,2011,47,Fantasía / Acción / Aventura,Seven Arcs
Hourou Musuko,2011,48,Otros Géneros,"AIC, Enterbrain"
C³,2011,49,Fantasía / Acción / Aventura,SILVER LINK.
Hoshizora e Kakaru Hashi,2011,50,Otros Géneros,"Doga Kobo, PRA, Jumondou"
Sekaiichi Hatsukoi,2011,51,Otros Géneros,Studio DEEN
UN-GO,2011,52,Sci-Fi / Mecha Puro,bones
Astarotte no Omocha!,2011,53,Fantasía / Acción / Aventura,diomedéa
Dragon Crisis!,2011,54,Fantasía / Acción / Aventura,Studio DEEN
Mashiroiro Symphony: The color of lovers,2011,55,Otros Géneros,Manglobe
Dantalian no Shoka,2011,56,Fantasía / Acción / Aventura,Gainax
Uta no☆Prince-sama♪ Maji LOVE 1000%,2011,57,Otros Géneros,A-1 Pictures
Yumekui Merry,2011,58,Fantasía / Acción / Aventura,J.C.STAFF
Nurarihyon no Mago: Sennen Makyou,2011,59,Fantasía / Acción / Aventura,Studio DEEN
Toriko,2011,60,Fantasía / Acción / Aventura,Toei Animation
Seikon no Qwaser II,2011,61,Fantasía / Acción / Aventura,Hoods Entertainment
Itsuka Tenma no Kuro Usagi,2011,62,Otros Géneros,ZEXCS
Inazuma Eleven GO,2011,63,Otros Géneros,OLM
Shinryaku!? Ika Musume,2011,64,Otros Géneros,"diomedéa, Nomad, Ashi Productions, Encourage Films"
A-Channel,2011,65,Otros Géneros,Studio Gokumi
Sekaiichi Hatsukoi 2,2011,66,Otros Géneros,Studio DEEN
Manyuu Hikenchou,2011,67,Fantasía / Acción / Aventura,Hoods Entertainment
Level E,2011,68,Sci-Fi / Mecha Puro,"Studio Pierrot, David Production, Sakura Create"
Phi Brain: Kami no Puzzle,2011,69,Fantasía / Acción / Aventura,Sunrise
Ro-Kyu-Bu!,2011,70,Otros Géneros,"project No.9, Studio Blanc"
Yu☆Gi☆Oh! ZEXAL,2011,71,Fantasía / Acción / Aventura,Studio Gallop
Onii-chan no Koto nanka Zenzen Suki Janain Dakara ne!!,2011,72,Otros Géneros,ZEXCS
Oretachi ni Tsubasa wa Nai: under the innocent sky.,2011,73,Otros Géneros,Nomad
R-15,2011,74,Otros Géneros,"AIC, Studio Kelmadick"
Fractale,2011,75,Híbrido (Acción + Sci-Fi),"A-1 Pictures, Ordet"
Metal Fight Beyblade 4D,2011,76,Fantasía / Acción / Aventura,SynergySP
Sacred Seven,2011,77,Híbrido (Acción + Sci-Fi),Sunrise
Maria†Holic Alive,2011,78,Otros Géneros,Shaft
Kamisama Dolls,2011,79,Fantasía / Acción / Aventura,Brain's Base
Tamayura: hitotose,2011,80,Otros Géneros,TYO Animations
